Model,RMSE_Fe_Mean,RMSE_Fe_Std,RMSE_Mass_Mean,RMSE_Mass_Std,R2_Fe_Mean,R2_Fe_Std,R2_Mass_Mean,R2_Mass_Std,Runtime_Mean,Runtime_Std
SVR_RBF,0.02711936641191128,,0.21154445690551033,,0.9713759190066943,,0.9103343233565943,,456.3475852012634,
GPR_RBF,0.028891293415774927,,0.2113111869889874,,0.991904533168085,,0.9126995164991567,,629.7505571842194,
KRR_RBF,0.029358269544363356,,0.21137593890650713,,0.9672769753838486,,0.9123839445021203,,129.0589680671692,
LINEAR_RIDGE,0.039249341719450735,,0.21256168379062268,,0.9306180368738628,,0.9178237637914476,,96.58428692817688,
